Time,Date,Collection,Latitude,Longitude,Operator,Data Technology,Data Technology Reporting,RAN Configuration,DL Carriers,DL Bandwidth Aggregated,5G NR Net PDSCH Throughput,PDSCH BLER,Avg PDSCH TB Size,Num PDSCH TBs,Avg Num PDSCH RBs per Slot,Num PDSCH RBs,Avg Num PDSCH REs per TB,Num PDSCH REs,MCS,Avg PDSCH Code Rate,PDSCH SCS,Num PDSCH Slots,PDSCH ReTx = 1,PDSCH ReTx = 2,PDSCH ReTx >= 3,Max PDSCH Layers,Avg PDSCH Layers,Test Name,Direction,Test Status
2025-02-24 18:00:44.545,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19541900,-94.18444600,T-Mobile,5G NR,5G NR,5G SA,1,15,0,0,,,,,,,,,,,0,0,0,,,Capacity,Downlink,Completed
2025-02-24 18:00:44.575,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19541900,-94.18444600,T-Mobile,5G NR,5G NR,5G SA,1,15,2.136,0,8,1,12,12,1848,1848,0,0.0173,15,1,0,0,0,1,1,Capacity,Downlink,Completed
2025-02-24 18:00:45.077,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19542400,-94.18444600,T-Mobile,5G NR,5G NR,5G SA,1,15,114.176,0,286.8,25,27,682,4201,105028,1.4,0.1381,15,25,0,0,0,2,1.3,Capacity,Downlink,Completed
2025-02-24 18:00:45.591,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19542400,-94.18444600,T-Mobile,5G NR,5G NR,5G SA,1,15,2203.032,0.086,2177.3,81,22,1792,3407,275968,8.9,0.32740003,15,81,6,0,0,2,2,Capacity,Downlink,Completed
2025-02-24 18:00:45.877,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19542400,-94.18444600,T-Mobile,5G NR CA,5G NR CA,5G SA,2,215,25110.328,0.102,4877.3,215,51,11027,7898,1698158,14.9,0.4318,15,215,20,0,0,3,1.9,Capacity,Downlink,Completed
2025-02-24 18:00:45.957,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19542400,-94.18444600,T-Mobile,5G NR CA,5G NR CA,5G SA,4,215,50700.16,0.086,4468.6,139,61,8538,9459,1314852,10.7,0.3305,30,139,14,0,0,7,1.9,Capacity,Downlink,Completed
2025-02-24 18:00:46.457,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19543800,-94.18444300,T-Mobile,5G NR CA,5G NR CA,5G SA,4,215,122609.008,0.069,8719.6,980,67,65639,10315,10108406,16,0.53470004,30,980,64,2,0,9,2,Capacity,Downlink,Completed
2025-02-24 18:00:46.956,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19543800,-94.18444300,T-Mobile,5G NR CA,5G NR CA,5G SA,4,215,204153.136,0.099,10501.3,1433,63,89801,9651,13829354,17.9,0.5683,30,1433,135,4,0,9,2.2,Capacity,Downlink,Completed
2025-02-24 18:00:47.455,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19547800,-94.18444100,T-Mobile,5G NR CA,5G NR CA,5G SA,4,215,301032.16,0.093,11903.1,1789,69,124028,10677,19100312,18.7,0.5919,30,1789,161,3,0,9,2.2,Capacity,Downlink,Completed
2025-02-24 18:00:47.958,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19547800,-94.18444100,T-Mobile,5G NR CA,5G NR CA,5G SA,4,215,390327.584,0.113000005,14599.8,1910,82,155771,12560,23988734,20.1,0.62810004,30,1910,198,7,0,9,2.1,Capacity,Downlink,Completed
2025-02-24 18:00:48.461,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19547900,-94.18444200,T-Mobile,5G NR CA,5G NR CA,5G SA,4,215,413052,0.111,17105.5,1761,93,164275,14366,25298350,20.5,0.64739996,30,1761,178,6,2,10,2.2,Capacity,Downlink,Completed
2025-02-24 18:00:48.960,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19547900,-94.18444200,T-Mobile,5G NR CA,5G NR CA,5G SA,4,215,542573.376,0.113000005,18517.5,2115,108,227842,16590,35087668,18.7,0.6227,30,2115,211,7,3,10,2.4,Capacity,Downlink,Completed
2025-02-24 18:00:49.462,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19548000,-94.18444500,T-Mobile,5G NR CA,5G NR CA,5G SA,4,215,416123.2,0.103,15977.2,1851,100,185792,15458,28611968,19.5,0.66400003,30,1851,192,1,0,9,2,Capacity,Downlink,Completed
2025-02-24 18:00:49.962,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19548000,-94.18444500,T-Mobile,5G NR CA,5G NR CA,5G SA,4,215,509635.936,0.098000005,18522.1,1973,102,200885,15680,30936290,21.4,0.6536,30,1973,187,1,0,8,1.9,Capacity,Downlink,Completed
2025-02-24 18:00:50.460,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19548000,-94.18444900,T-Mobile,5G NR CA,5G NR CA,5G SA,4,215,603390.336,0.102,21953.9,1975,118,232739,18148,35841806,21.2,0.629,30,1975,200,2,0,8,2,Capacity,Downlink,Completed
