Full Date Time;Date;Time;Collection;Latitude;Longitude;Operator;Technology;Band Number;RAN Configuration;Data Technology;Cell Type;Carrier Index;PCI 5G NR;SSB Index;UL NR-ARFCN;5G NR Net PUSCH Throughput;UL Bandwidth;PUSCH Modulation;Avg PUSCH TB Size;Num PUSCH TBs;PUSCH TB Rate;Avg Num PUSCH RBs per Slot;Num PUSCH RBs;MCS;PUSCH SCS;Num PUSCH Slots;Avg PUSCH Layers;DL Pathloss;PUSCH Tx Power;PUSCH ReTx Rate;Bytes Transferred over PUSCH;Test Name;Direction;Test Status
2025-02-24 18:00:44.625;2025-02-24;18:00:44.625;Day1-TMO-MNO-DEF-IN;36.19541900;-94.18444600;T-Mobile;5G NR;25;SA;5G NR;MCG PCell;PCell;585;0;375078;0;14;;;0;;;0;;;0;;;;;0;Capacity;Downlink;Completed
2025-02-24 18:00:44.655;2025-02-24;18:00:44.655;Day1-TMO-MNO-DEF-IN;36.19541900;-94.18444600;T-Mobile;5G NR;25;SA;5G NR;MCG PCell;PCell;585;0;375078;2.936;14;QPSK;11;1;33.3;3;3;0;;1;;;;0;11;Capacity;Downlink;Completed
2025-02-24 18:00:45.156;2025-02-24;18:00:45.156;Day1-TMO-MNO-DEF-IN;36.19542400;-94.18444600;T-Mobile;5G NR;25;SA;5G NR;MCG PCell;PCell;585;0;375078;187.464;14;16-QAM;345.3;36;71.9;11;411;9.4;15;36;1;117.7;21.1;0.0559999980032444;12430;Capacity;Downlink;Completed
2025-02-24 18:00:45.652;2025-02-24;18:00:45.652;Day1-TMO-MNO-DEF-IN;36.19542400;-94.18444600;T-Mobile;5G NR;25;SA;5G NR;MCG PCell;PCell;585;0;375078;595.84;14;64-QAM;400.5;97;192.5;12;1154;10.2;15;97;1;114.5;20.5;0.05199999734759331;38847;Capacity;Downlink;Completed
2025-02-24 18:00:46.145;2025-02-24;18:00:46.145;Day1-TMO-MNO-DEF-IN;36.19543800;-94.18444300;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1419.184;14;16-QAM;561.6;169;337.4;19;3282;8.4;15;169;1;116.5;20.8;0.07100000232458115;94915;Capacity;Downlink;Completed
2025-02-24 18:00:46.643;2025-02-24;18:00:46.643;Day1-TMO-MNO-DEF-IN;36.19543800;-94.18444300;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;2663.92;14;16-QAM;824.5;213;425.1;29;6091;7.5;15;213;1;116.9;20.6;0.04699999839067459;175623;Capacity;Downlink;Completed
2025-02-24 18:00:47.146;2025-02-24;18:00:47.146;Day1-TMO-MNO-DEF-IN;36.19547800;-94.18444100;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1299.64;14;64-QAM;705.1;118;234.1;15;1804;12.4;15;118;1;112;20.3;0.03400000184774399;83206;Capacity;Downlink;Completed
2025-02-24 18:00:47.644;2025-02-24;18:00:47.644;Day1-TMO-MNO-DEF-IN;36.19547800;-94.18444100;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1375.488;14;64-QAM;731.3;120;241;19;2332;11;15;120;1;112;20.4;0.05000000074505806;87752;Capacity;Downlink;Completed
2025-02-24 18:00:48.145;2025-02-24;18:00:48.145;Day1-TMO-MNO-DEF-IN;36.19547900;-94.18444200;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1363.888;14;16-QAM;656.4;140;279.4;20;2753;8.9;15;140;1;111.4;20.6;0.06400000303983688;91897;Capacity;Downlink;Completed
2025-02-24 18:00:48.646;2025-02-24;18:00:48.646;Day1-TMO-MNO-DEF-IN;36.19547900;-94.18444200;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1274.912;14;16-QAM;656.8;129;257.5;21;2694;8.7;15;129;1;110.5;20.7;0.06199999898672104;84721;Capacity;Downlink;Completed
2025-02-24 18:00:49.147;2025-02-24;18:00:49.147;Day1-TMO-MNO-DEF-IN;36.19548000;-94.18444500;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1636.728;14;64-QAM;614.8;175;349.3;20;3473;9.2;15;175;1;112.5;20.6;0.0689999982714653;107598;Capacity;Downlink;Completed
2025-02-24 18:00:49.651;2025-02-24;18:00:49.651;Day1-TMO-MNO-DEF-IN;36.19548000;-94.18444500;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1465.456;14;64-QAM;537.7;183;363.1;17;3123;9;15;183;1;115.1;20.9;0.06599999964237213;98399;Capacity;Downlink;Completed
2025-02-24 18:00:50.158;2025-02-24;18:00:50.158;Day1-TMO-MNO-DEF-IN;36.19548000;-94.18444900;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1580.072;14;64-QAM;565.3;193;380.6;18;3505;8.9;15;193;1;117.8;20.8;0.06700000166893005;109107;Capacity;Downlink;Completed
2025-02-24 18:00:50.662;2025-02-24;18:00:50.662;Day1-TMO-MNO-DEF-IN;36.19548000;-94.18444900;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1605.984;14;64-QAM;617.3;171;339.3;18;3019;10.2;15;171;1;115.9;20.5;0.058000002056360245;105565;Capacity;Downlink;Completed
2025-02-24 18:00:51.163;2025-02-24;18:00:51.163;Day1-TMO-MNO-DEF-IN;36.19547800;-94.18444900;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1360;14;64-QAM;743;119;237.5;16;1894;12.2;15;119;1;112.2;20.2;0.02500000037252903;88418;Capacity;Downlink;Completed
2025-02-24 18:00:51.663;2025-02-24;18:00:51.663;Day1-TMO-MNO-DEF-IN;36.19547800;-94.18444900;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1430.872;14;64-QAM;677;136;271.4;14;1942;13;15;136;1;110.3;20.2;0.04399999976158142;92071;Capacity;Downlink;Completed
2025-02-24 18:00:52.164;2025-02-24;18:00:52.164;Day1-TMO-MNO-DEF-IN;36.19547600;-94.18444800;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1325.872;14;64-QAM;572.6;147;293.4;15;2191;11.3;15;147;1;110.9;20.4;0.019999999552965164;84173;Capacity;Downlink;Completed
2025-02-24 18:00:52.665;2025-02-24;18:00:52.665;Day1-TMO-MNO-DEF-IN;36.19547600;-94.18444800;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1414.168;14;16-QAM;493;207;413.2;19;3868;7.7;15;207;1;114.6;21.2;0.10600000619888306;102053;Capacity;Downlink;Completed
2025-02-24 18:00:53.166;2025-02-24;18:00:53.166;Day1-TMO-MNO-DEF-IN;36.19549200;-94.18445000;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;585;0;375078;1740.624;14;16-QAM;496.9;236;471;19;4589;7;15;236;1;118.5;21.3;0.05900000035762787;117278;Capacity;Downlink;Completed
2025-02-24 18:00:53.667;2025-02-24;18:00:53.667;Day1-TMO-MNO-DEF-IN;36.19549200;-94.18445000;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;447;0;375078;1344.312;14;16-QAM;471.4;201;401.1;15;3073;7.6;15;201;1;122.5;21;0.10899999737739563;94755;Capacity;Downlink;Completed
2025-02-24 18:00:54.165;2025-02-24;18:00:54.165;Day1-TMO-MNO-DEF-IN;36.19549200;-94.18445000;T-Mobile;5G NR;25;SA;5G NR CA;MCG PCell;PCell;447;0;375078;316.536;14;16-QAM;197.9;112;224.9;12;1299;6.3;15;112;1;116.1;21.4;0.09800000488758087;22164;Capacity;Downlink;Completed
2025-02-24 18:00:54.669;2025-02-24;18:00:54.669;Day1-TMO-MNO-DEF-IN;36.19549700;-94.18445600;T-Mobile;5G NR;25;SA;5G NR;MCG PCell;PCell;447;0;375078;142.168;14;16-QAM;138;69;136.9;3;207;8.8;15;69;1;115;20.7;0.058000002056360245;9521;Capacity;Downlink;Completed
2025-02-24 18:00:55.170;2025-02-24;18:00:55.170;Day1-TMO-MNO-DEF-IN;36.19549600;-94.18445400;T-Mobile;5G NR;25;SA;5G NR;MCG PCell;PCell;447;0;375078;222.312;14;16-QAM;157.9;94;187.6;4;371;8.7;15;94;1;113.6;21.3;0.05300000309944153;14839;Capacity;Downlink;Completed
2025-02-24 18:01:00.711;2025-02-24;18:01:00.711;Day1-TMO-MNO-DEF-IN;36.19549800;-94.18445500;T-Mobile;5G NR;25;SA;5G NR;MCG PCell;PCell;447;0;375078;180.768;14;16-QAM;156;73;144.8;3;219;10.3;15;73;1;116.8;20.9;0;11389;Capacity;Uplink;Failed
2025-02-24 18:01:01.215;2025-02-24;18:01:01.215;Day1-TMO-MNO-DEF-IN;36.19549800;-94.18445500;T-Mobile;5G NR;25;SA;5G NR;MCG PCell;PCell;447;0;375078;168.464;14;16-QAM;156.1;68;134.9;3;204;10.3;15;68;1;115.4;20.9;0;10612;Capacity;Uplink;Failed
2025-02-24 18:01:07.287;2025-02-24;18:01:07.287;Day1-TMO-MNO-DEF-IN;36.19550500;-94.18445600;T-Mobile;5G NR;25;SA;5G NR;MCG PCell;PCell;447;0;375078;41.216;14;16-QAM;103.2;25;49.9;4;91;5.6;15;25;1;118.5;21.5;0;2581;Ping;Mixed;Completed
2025-02-24 18:01:07.793;2025-02-24;18:01:07.793;Day1-TMO-MNO-DEF-IN;36.19550500;-94.18445600;T-Mobile;5G NR;25;SA;5G NR;MCG PCell;PCell;447;0;375078;54.224;14;16-QAM;98.4;36;71.1;3;108;5.9;15;36;1;117.2;21.5;0.0279999990016222;3541;Ping;Mixed;Completed
2025-02-24 18:01:08.286;2025-02-24;18:01:08.286;Day1-TMO-MNO-DEF-IN;36.19551000;-94.18445700;T-Mobile;5G NR;25;SA;5G NR;MCG PCell;PCell;447;0;375078;54.64;14;16-QAM;106.7;34;69;3;102;6.5;15;34;1;116.8;21.4;0.05900000035762787;3629;Ping;Mixed;Completed
