Time,Date,Collection,Latitude,Longitude,Unit,Operator,Technology,Data Technology,Data Technology Summary,Host,Protocol,Number Sub Tests,Bytes Transferred,IP Throughput,IP Sustainable Throughput,Duration,Sustainable Duration,Ramp-up Duration,Round Trip Time,Sustainable Bytes Transferred,IP Sustainable Throughput Points,Test Type,Direction,Test Status
2025-02-24 18:00:55.367,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19549600,-94.18445400,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR/5G NR CA,github.com,HTTPS,10,381774639,36.705,394704.048,10.031,6.036,3157.000,42,297804204,586.488,Capacity,Downlink,Completed
2025-02-24 18:00:55.367,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19549600,-94.18445400,QualiPoc_083101,T-Mobile,5G NR,5G NR CA,5G NR/5G NR CA,github.com,HTTPS,10,381774639,36.705,394704.048,10.031,6.036,3157.000,42,297804204,586.488,Capacity,Downlink,Completed
2025-02-24 18:01:01.679,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19549800,-94.18445500,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,httpbin.org,HTTPS,10,0,,,0.000,,,,,,Capacity,Uplink,Failed
2025-02-24 18:01:26.533,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19553500,-94.18446000,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR/5G NR CA,github.com,HTTPS,10,340416744,36.831,352175.538,9.896,5.508,4302.000,43,242472858,560.045,Capacity,Downlink,Completed
2025-02-24 18:01:26.533,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19553500,-94.18446000,QualiPoc_083101,T-Mobile,5G NR,5G NR CA,5G NR/5G NR CA,github.com,HTTPS,10,340416744,36.831,352175.538,9.896,5.508,4302.000,43,242472858,560.045,Capacity,Downlink,Completed
2025-02-24 18:01:42.095,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19572200,-94.18455200,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,httpbin.org,HTTPS,10,19005440,2610.145,2748.411,10.375,10.093,92.000,99,3467464,68.642,Capacity,Uplink,Completed
2025-02-24 18:02:07.022,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19598000,-94.18460600,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR/5G NR CA,github.com,HTTPS,10,132247309,36.732,115527.211,10.013,6.592,3230.000,60,95194422,324.947,Capacity,Downlink,Completed
2025-02-24 18:02:07.022,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19598000,-94.18460600,QualiPoc_083101,T-Mobile,5G NR,5G NR CA,5G NR/5G NR CA,github.com,HTTPS,10,132247309,36.732,115527.211,10.013,6.592,3230.000,60,95194422,324.947,Capacity,Downlink,Completed
2025-02-24 18:02:22.830,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19606800,-94.18442300,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,httpbin.org,HTTPS,10,19030016,553.767,668.435,10.526,10.277,90.000,68,858688,18.864,Capacity,Uplink,Completed
2025-02-24 18:02:48.339,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19609500,-94.18442900,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR/5G NR CA,github.com,HTTPS,10,10875390,,11220.441,10.096,7.821,1676.000,143,10969384,54.531,Capacity,Downlink,Failed
2025-02-24 18:02:48.339,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19609500,-94.18442900,QualiPoc_083101,T-Mobile,5G NR,5G NR CA,5G NR/5G NR CA,github.com,HTTPS,10,10875390,,11220.441,10.096,7.821,1676.000,143,10969384,54.531,Capacity,Downlink,Failed
2025-02-24 18:02:54.635,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19609700,-94.18443000,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,httpbin.org,HTTPS,10,0,,,0.000,,,,,,Capacity,Uplink,Failed
2025-02-24 18:03:10.389,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19624300,-94.18449300,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,github.com,HTTPS,10,0,,,1.124,,,,,,Capacity,Downlink,Failed
2025-02-24 18:03:16.766,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19636900,-94.18446200,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,httpbin.org,HTTPS,10,0,,,0.000,,,,,,Capacity,Uplink,Failed
2025-02-24 18:03:32.461,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19638400,-94.18446700,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,github.com,HTTPS,10,0,,,1.020,,,,,,Capacity,Downlink,Failed
2025-02-24 18:03:38.756,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19646300,-94.18465500,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,httpbin.org,HTTPS,10,0,,,0.000,,,,,,Capacity,Uplink,Failed
2025-02-24 18:03:54.516,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19640200,-94.18466200,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,github.com,HTTPS,10,0,,,1.126,,,,,,Capacity,Downlink,Failed
2025-02-24 18:04:00.804,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19635800,-94.18463600,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,httpbin.org,HTTPS,10,0,,,0.000,,,,,,Capacity,Uplink,Failed
2025-02-24 18:04:16.479,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19628800,-94.18470600,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,github.com,HTTPS,10,0,,,1.140,,,,,,Capacity,Downlink,Failed
2025-02-24 18:04:22.785,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19626000,-94.18468700,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,httpbin.org,HTTPS,10,0,,,0.000,,,,,,Capacity,Uplink,Failed
2025-02-24 18:04:38.506,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19631500,-94.18481700,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,github.com,HTTPS,10,0,,,0.904,,,,,,Capacity,Downlink,Failed
2025-02-24 18:04:44.824,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19625700,-94.18481900,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,httpbin.org,HTTPS,10,2789376,,,1.087,,,,,,Capacity,Uplink,Failed
2025-02-24 18:05:00.454,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19608200,-94.18493800,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,github.com,HTTPS,10,0,,,1.095,,,,,,Capacity,Downlink,Failed
2025-02-24 18:05:06.768,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19604400,-94.18499900,QualiPoc_083101,T-Mobile,5G NR,5G NR,5G NR,httpbin.org,HTTPS,10,106496,,,1.058,,,,,,Capacity,Uplink,Failed
