Time,Collection,Latitude,Longitude,Unit,Data Technology,Host,Protocol,Round Trip Time,Sequence Number,Packet Size,Round Trip Time float,Test Type,Test Status
2025-02-24 18:01:14.465,Day1-TMO-MNO-DEF-IN,36.19551400,-94.18445800,QualiPoc_083101,5G NR CA,8.8.8.8,ICMP,7564,1,32,7564,Ping,Completed
2025-02-24 18:01:14.466,Day1-TMO-MNO-DEF-IN,36.19551400,-94.18445800,QualiPoc_083101,5G NR CA,8.8.8.8,ICMP,6559,2,32,6559,Ping,Completed
2025-02-24 18:01:14.467,Day1-TMO-MNO-DEF-IN,36.19551400,-94.18445800,QualiPoc_083101,5G NR CA,8.8.8.8,ICMP,5536,3,32,5536,Ping,Completed
2025-02-24 18:01:14.467,Day1-TMO-MNO-DEF-IN,36.19551400,-94.18445800,QualiPoc_083101,5G NR CA,8.8.8.8,ICMP,4512,4,32,4512,Ping,Completed
2025-02-24 18:01:14.468,Day1-TMO-MNO-DEF-IN,36.19551400,-94.18445800,QualiPoc_083101,5G NR CA,8.8.8.8,ICMP,3488,5,32,3488,Ping,Completed
2025-02-24 18:01:14.469,Day1-TMO-MNO-DEF-IN,36.19551400,-94.18445800,QualiPoc_083101,5G NR CA,8.8.8.8,ICMP,2464,6,32,2464,Ping,Completed
2025-02-24 18:01:14.469,Day1-TMO-MNO-DEF-IN,36.19551400,-94.18445800,QualiPoc_083101,5G NR CA,8.8.8.8,ICMP,1440,7,32,1440,Ping,Completed
2025-02-24 18:01:14.469,Day1-TMO-MNO-DEF-IN,36.19551400,-94.18445800,QualiPoc_083101,5G NR CA,8.8.8.8,ICMP,413,8,32,413,Ping,Completed
2025-02-24 18:01:15.107,Day1-TMO-MNO-DEF-IN,36.19551400,-94.18445800,QualiPoc_083101,5G NR CA,8.8.8.8,ICMP,58,9,32,58.5,Ping,Completed
2025-02-24 18:01:16.106,Day1-TMO-MNO-DEF-IN,36.19551400,-94.18445800,QualiPoc_083101,5G NR,8.8.8.8,ICMP,55,10,32,55.2,Ping,Completed
2025-02-24 18:01:47.393,Day1-TMO-MNO-DEF-IN,36.19578500,-94.18459600,QualiPoc_083101,5G NR,8.8.8.8,ICMP,79,1,32,79.2,Ping,Completed
2025-02-24 18:01:48.370,Day1-TMO-MNO-DEF-IN,36.19579500,-94.18459100,QualiPoc_083101,5G NR,8.8.8.8,ICMP,55,2,32,55,Ping,Completed
2025-02-24 18:01:49.391,Day1-TMO-MNO-DEF-IN,36.19580600,-94.18458900,QualiPoc_083101,5G NR,8.8.8.8,ICMP,75,3,32,74.7,Ping,Completed
2025-02-24 18:01:50.394,Day1-TMO-MNO-DEF-IN,36.19582000,-94.18458600,QualiPoc_083101,5G NR,8.8.8.8,ICMP,77,4,32,77.2,Ping,Completed
2025-02-24 18:01:51.400,Day1-TMO-MNO-DEF-IN,36.19583500,-94.18459200,QualiPoc_083101,5G NR,8.8.8.8,ICMP,81,5,32,81,Ping,Completed
2025-02-24 18:01:52.390,Day1-TMO-MNO-DEF-IN,36.19586200,-94.18462800,QualiPoc_083101,5G NR,8.8.8.8,ICMP,70,6,32,69.8,Ping,Completed
2025-02-24 18:01:53.390,Day1-TMO-MNO-DEF-IN,36.19589200,-94.18463900,QualiPoc_083101,5G NR,8.8.8.8,ICMP,68,7,32,68.5,Ping,Completed
2025-02-24 18:01:54.394,Day1-TMO-MNO-DEF-IN,36.19590500,-94.18459300,QualiPoc_083101,5G NR,8.8.8.8,ICMP,71,8,32,70.7,Ping,Completed
2025-02-24 18:01:55.394,Day1-TMO-MNO-DEF-IN,36.19591800,-94.18457100,QualiPoc_083101,5G NR,8.8.8.8,ICMP,69,9,32,69.2,Ping,Completed
2025-02-24 18:01:56.405,Day1-TMO-MNO-DEF-IN,36.19593400,-94.18455900,QualiPoc_083101,5G NR,8.8.8.8,ICMP,79,10,32,78.6,Ping,Completed
2025-02-24 18:02:28.191,Day1-TMO-MNO-DEF-IN,36.19608600,-94.18442400,QualiPoc_083101,5G NR,8.8.8.8,ICMP,85,1,32,85.4,Ping,Completed
2025-02-24 18:02:29.193,Day1-TMO-MNO-DEF-IN,36.19608700,-94.18442500,QualiPoc_083101,5G NR,8.8.8.8,ICMP,86,2,32,86.1,Ping,Completed
2025-02-24 18:02:30.181,Day1-TMO-MNO-DEF-IN,36.19608700,-94.18442500,QualiPoc_083101,5G NR,8.8.8.8,ICMP,72,3,32,72.2,Ping,Completed
2025-02-24 18:02:31.183,Day1-TMO-MNO-DEF-IN,36.19608700,-94.18442500,QualiPoc_083101,5G NR,8.8.8.8,ICMP,73,4,32,73.2,Ping,Completed
2025-02-24 18:02:32.175,Day1-TMO-MNO-DEF-IN,36.19608700,-94.18442500,QualiPoc_083101,5G NR,8.8.8.8,ICMP,64,5,32,63.7,Ping,Completed
2025-02-24 18:02:33.186,Day1-TMO-MNO-DEF-IN,36.19608700,-94.18442600,QualiPoc_083101,5G NR,8.8.8.8,ICMP,74,6,32,74.4,Ping,Completed
2025-02-24 18:02:34.194,Day1-TMO-MNO-DEF-IN,36.19608700,-94.18442600,QualiPoc_083101,5G NR,8.8.8.8,ICMP,80,7,32,80.3,Ping,Completed
2025-02-24 18:02:35.190,Day1-TMO-MNO-DEF-IN,36.19608700,-94.18442600,QualiPoc_083101,5G NR,8.8.8.8,ICMP,76,8,32,75.5,Ping,Completed
2025-02-24 18:02:36.225,Day1-TMO-MNO-DEF-IN,36.19608700,-94.18442600,QualiPoc_083101,5G NR,8.8.8.8,ICMP,109,9,32,109,Ping,Completed
2025-02-24 18:02:37.304,Day1-TMO-MNO-DEF-IN,36.19608700,-94.18442600,QualiPoc_083101,5G NR,8.8.8.8,ICMP,186,10,32,186,Ping,Completed
2025-02-24 18:02:59.979,Day1-TMO-MNO-DEF-IN,36.19610100,-94.18443100,QualiPoc_083101,5G NR,8.8.8.8,ICMP,71,1,32,71,Ping,Completed
2025-02-24 18:03:01.018,Day1-TMO-MNO-DEF-IN,36.19610200,-94.18443100,QualiPoc_083101,5G NR,8.8.8.8,ICMP,109,2,32,109,Ping,Completed
