Time,Date,Collection,Latitude,Longitude,Operator,Data Technology,Data Technology Reporting,RAN Configuration,DL Carriers PDSCH,DL Bandwidth,LTE Net PDSCH Throughput,BLER,TB Size,Subframes,RBs,RB per Subframe,MCS,Modulation (Based on MCS),Max PDSCH Layers,Avg PDSCH Layers,1 Retransmission,2 Retransmissions,3 Retransmissions,Test Name,Direction,Test Status
2025-02-24 18:12:48.055,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637400,-94.18414500,T-Mobile,LTE,LTE,5G EN-DC,1,5,0,,,0,,,,64QAM,,,,,,Capacity,Uplink,Completed
2025-02-24 18:12:48.325,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637400,-94.18414500,T-Mobile,LTE,LTE,5G EN-DC,1,5,6.936,0.111,69.2,9,61,7,8.1,QPSK,4,4,0,0,0,Capacity,Uplink,Completed
2025-02-24 18:12:49.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637400,-94.18414500,T-Mobile,LTE,LTE,5G EN-DC,1,5,0.64,0,36,2,14,7,1.5,QPSK,4,4,0,0,0,Capacity,Uplink,Completed
2025-02-24 18:12:49.525,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637400,-94.18414500,T-Mobile,LTE,LTE,5G EN-DC,1,5,16.904,0.048,30.7,18,155,8,1,QPSK,4,2.5,0,0,0,Capacity,Uplink,Completed
2025-02-24 18:12:50.125,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637400,-94.18416300,T-Mobile,LTE,LTE,5G EN-DC,1,5,15.144,0,54.1,20,119,6,2,QPSK,2,1.1,0.04761905,0,0,Capacity,Uplink,Completed
2025-02-24 18:12:50.425,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637400,-94.18416300,T-Mobile,LTE,LTE,5G EN-DC,1,5,17.808,0,83.5,8,40,5,3.9,QPSK,1,1,0,0,0,Capacity,Uplink,Completed
2025-02-24 18:12:51.025,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637400,-94.18416300,T-Mobile,LTE,LTE,5G EN-DC,1,5,12.456,0,58.4,16,58,4,3.2,QPSK,1,1,0.0625,0,0,Capacity,Uplink,Completed
2025-02-24 18:12:51.325,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637400,-94.18416300,T-Mobile,LTE,LTE,5G EN-DC,1,5,13.168,0.111,63.7,9,26,3,5.4,16QAM,1,1,0,0.11111111,0,Capacity,Uplink,Completed
2025-02-24 18:12:51.925,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637400,-94.18416300,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,5,30.68,0,135.4,17,123,7,3.8,QPSK,1,1,0.11764706,0,0,Capacity,Uplink,Completed
2025-02-24 18:12:52.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637400,-94.18416300,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,5,6.744,0,25.3,10,20,2,3.2,QPSK,1,1,0.1,0,0,Capacity,Uplink,Completed
2025-02-24 18:12:52.825,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637400,-94.18416300,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,5,0.864,0,16.2,4,8,2,2,QPSK,1,1,0,0,0,Capacity,Uplink,Completed
2025-02-24 18:12:58.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637900,-94.18418900,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,5,1.256,0,23.5,8,28,4,1.4,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:12:59.425,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637600,-94.18419600,T-Mobile,LTE,LTE,5G EN-DC,1,5,0.704,0,53,2,6,3,3.5,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:12:59.725,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637600,-94.18419600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,5,29.776,0,223.2,5,58,12,4.4,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:00.325,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637500,-94.18419600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,5,2.44,0.125,25.6,7,18,2,2.5,QPSK,2,1.1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:00.925,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637500,-94.18419600,T-Mobile,LTE-5G NR,LTE-5G NR,5G EN-DC,1,5,0.12,0,9,1,2,2,1,QPSK,1,1,0,0,0,Ping,Mixed,Completed
2025-02-24 18:13:01.225,2025-02-24,Day1-TMO-MNO-DEF-IN,36.19637700,-94.18419700,T-Mobile,LTE-5G NR,LTE-5G NR,LTE,1,20,37.352,0,56,25,363,15,1.2,QPSK,4,2,0,0,0,Ping,Mixed,Completed
