Time,Collection,Latitude,Longitude,SSID,BSSID,Frequency,RSSI,Link Speed,Technology Band,Status
2025-02-24 22:39:57.975,Day1-WIFI-IN,36.19560300,-94.18448900,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-51,206,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:39:58.991,Day1-WIFI-IN,36.19560300,-94.18448900,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-51,206,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:00.001,Day1-WIFI-IN,36.19560300,-94.18448900,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-46,286,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:01.016,Day1-WIFI-IN,36.19560300,-94.18448800,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-46,286,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:02.044,Day1-WIFI-IN,36.19560600,-94.18448700,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-46,286,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:03.060,Day1-WIFI-IN,36.19563300,-94.18447500,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-46,286,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:04.079,Day1-WIFI-IN,36.19567400,-94.18447600,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-46,286,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:05.087,Day1-WIFI-IN,36.19568700,-94.18448800,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-46,286,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:06.100,Day1-WIFI-IN,36.19569400,-94.18447200,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-49,286,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:07.111,Day1-WIFI-IN,36.19571500,-94.18447000,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-49,286,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:08.135,Day1-WIFI-IN,36.19573200,-94.18444900,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-49,286,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:09.144,Day1-WIFI-IN,36.19574400,-94.18443400,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-54,172,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:10.159,Day1-WIFI-IN,36.19575300,-94.18443500,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-54,172,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:11.172,Day1-WIFI-IN,36.19575600,-94.18444000,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-54,172,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:12.193,Day1-WIFI-IN,36.19576200,-94.18443700,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-59,172,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:13.214,Day1-WIFI-IN,36.19577300,-94.18443300,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-59,172,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:14.222,Day1-WIFI-IN,36.19579300,-94.18441900,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-59,172,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:15.330,Day1-WIFI-IN,36.19581000,-94.18440700,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-60,154,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:16.346,Day1-WIFI-IN,36.19583600,-94.18440100,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-60,154,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:17.363,Day1-WIFI-IN,36.19584600,-94.18440200,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-60,154,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:18.373,Day1-WIFI-IN,36.19585800,-94.18440600,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-59,114,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:19.386,Day1-WIFI-IN,36.19586400,-94.18441300,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-59,114,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:20.405,Day1-WIFI-IN,36.19587000,-94.18441200,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-59,114,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:21.446,Day1-WIFI-IN,36.19587900,-94.18441500,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-59,154,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:22.461,Day1-WIFI-IN,36.19590000,-94.18441800,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-59,154,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:23.467,Day1-WIFI-IN,36.19591500,-94.18442000,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-59,154,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:24.479,Day1-WIFI-IN,36.19592500,-94.18442100,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-60,172,WiFi (2.4 GHz),CONNECTED
2025-02-24 22:40:25.488,Day1-WIFI-IN,36.19592900,-94.18442400,"""Walmartwifi""",d4:20:b0:d6:e5:c5,2462,-60,172,WiFi (2.4 GHz),CONNECTED
