Collection,Device Name,SSID,BSSID,Frequency,Technology Band,SSID Count [AVG],RSSI [AVG],Capability,Status,SSID Count [SUM]
Day2-ATT-MNO-4G-OUT,QualiPoc_083101,HEATKTE,5c:5b:35:60:0b:12,2412,WiFi (2.4 GHz),18,-71,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,1577
Day2-ATT-MNO-4G-IN,QualiPoc_083101,HEATKTE,d4:20:b0:d6:ed:56,5200,WiFi (5 GHz),155,-74,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,18670
Day2-VZN-MNO-4G-IN,QualiPoc_083101,HEATKTE,5c:5b:35:60:2b:92,5220,WiFi (5 GHz),153,-79,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,3064
Day1-WIFI-IN,QualiPoc_083101,m3rcytl$vo1p,50:5c:88:03:0e:cd,5300,WiFi (5 GHz),165,-83,[WPA2-EAP/SHA1+?-CCMP][RSN-EAP/SHA1+?-CCMP][ESS],,991
Day1-ATT-NH-OUT,QualiPoc_083101,m3rcytl$vo1p,50:5c:88:03:7f:7d,5785,WiFi (5 GHz),38,-83,[WPA2-EAP/SHA1+?-CCMP][RSN-EAP/SHA1+?-CCMP][ESS],,77
Day2-ATT-MNO-DEF-IN,QualiPoc_083101,HEATKTE,d4:20:b0:d6:e3:66,5700,WiFi (5 GHz),123,-79,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,988
Day1-ATT-NH-IN,QualiPoc_083101,MercyInternal,50:5c:88:02:c9:ce,5280,WiFi (5 GHz),163,-79,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,1956
Day1-TMO-MNO-DEF-IN,QualiPoc_083101,SaveMoney,d4:20:b0:d6:e5:c3,2462,WiFi (2.4 GHz),134,-67,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,17400
Day3_TMO-NH-L2,QualiPoc_083101,HEATKTE,5c:5b:35:60:2c:52,5180,WiFi (5 GHz),147,-85,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,4417
Day1-TMO-NH-OUT,QualiPoc_083101,HEATKTE,d4:20:b0:e2:4a:96,5825,WiFi (5 GHz),30,-84,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,30
Day2-ATT-MNO-DEF-IN,QualiPoc_083101,HEATKTE-NG,d4:20:b0:d6:eb:7c,5500,WiFi (5 GHz),137,-78,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,14199
Day3_ATT-NH-IN-L1,QualiPoc_083101,DIRECT-roku-J5G-E5E2F3,8e:c8:a0:77:a0:a6,5180,WiFi (5 GHz),166,-61,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],,3171
Day2-ATT-MNO-DEF-OUT,QualiPoc_083101,SwimUpstream,5c:5b:35:60:0b:15,2412,WiFi (2.4 GHz),22,-68,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,678
Day3_ATT-NH-IN-L1,QualiPoc_083101,SaveMoney,d4:20:b0:e2:4a:25,2462,WiFi (2.4 GHz),169,-72,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,2884
Day2-TMO-MNO-DEF-OUTER,QualiPoc_083101,m3rcytl$,50:5c:88:03:4b:20,2462,WiFi (2.4 GHz),20,-80,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][WPA-EAP/SHA1-TKIP+CCMP][ESS],,60
